"zipcode","latitude","longitude"
"1610","46.5714166","6.8278795"
"1610","46.5719393","6.8053351"
"1611","46.6113062","6.9209355"
"1612","46.5457329","6.86271"
"1613","46.5638062","6.8929961"
"1613","46.55129","6.87208"
"1614","46.5246606","6.8294732"
"1615","46.5258557","6.8523447"
"1616","46.5090903","6.8502726"
"1616","46.513632","6.8480735"
"1616","46.5169895","6.8640274"
"1617","46.5310802","6.8783"
"1617","46.536333","6.8797754"
"1618","46.5298585","6.9069007"
"1618","46.5218332","6.9104666"
"1618","46.54301","6.91415"
"1619","46.5217146","6.9479171"
"1623","46.565255","6.9614906"
"1624","46.5915239","6.9276316"
"1624","46.5915239","6.9276316"
"1624","46.5915239","6.9276316"
"1625","46.633336","6.983338"
"1625","46.63411","6.96938"
"1626","46.65087","6.97018"
"1626","46.64928","6.95688"
"1626","46.6540229","6.9534956"
"1627","46.620589","6.9891773"
"1628","46.6039639","6.9851586"
"1628","46.6180319","7.0250012"
"1630","46.6227614","7.0505594"
"1630","46.6135555","7.0599525"
"1630","46.6135555","7.0599525"
"1632","46.6415102","7.0623693"
"1633","46.6594574","7.0452086"
"1633","46.6594574","7.0452086"
"1634","46.6970359","7.1383057"
"1635","46.5973752","7.0166235"
"1635","46.608333","7.06667"
"1636","46.6042074","7.0974945"
"1637","46.62073","7.1655"
"1638","46.6249096","7.0849233"
"1642","46.6691888","7.0586245"
"1643","46.6771624","7.0727281"
"1644","46.68559","7.08689"
"1645","46.7007087","7.0843739"
"1645","46.7007087","7.0843739"
"1645","46.69611","7.0755"
"1646","46.6474392","7.0826837"
"1647","46.6548662","7.1192396"
"1648","46.6662742","7.1307787"
"1649","46.7037167","7.1140871"
"1651","46.6459991","7.1071065"
"1652","46.625863","7.1177675"
"1652","46.625863","7.1177675"
"1653","46.6135683","7.1275144"
"1653","46.6212325","7.1419918"
"1654","46.6343672","7.1594527"
"1654","46.6509209","7.189338"
"1656","46.46891","7.06813"
"1656","46.59964","7.23743"
"1656","46.6040614","7.2714352"
"1657","46.5696003","7.2800012"
"1658","46.4687125","7.051478"
"1658","46.4671042","7.0828407"
"1659","46.483","7.18226"
"1659","46.4809409","7.1774741"
"1659","46.4891397","7.2089164"
"1660","46.4746176","7.1312871"
"1660","46.4746176","7.1312871"
"1660","46.42229","7.10871"
"1660","46.4752733","7.1678544"
"1660","46.4752372","7.1387396"
"1660","46.4617663","7.1078495"
"1661","46.5912141","7.0513982"
"1661","46.5844572","7.0604966"
"1663","46.5882978","7.0847379"
"1663","46.5777555","7.0624775"
"1663","46.56529","7.0369"
"1663","46.581038","7.0723943"
"1665","46.56504","7.10305"
"1666","46.540928","7.0861428"
"1666","46.5408712","7.0701648"
"1667","46.5538666","7.0680766"
"1669","46.5025039","7.0380793"
"1669","46.46845","7.00752"
"1669","46.455922","6.997719"
"1669","46.4969466","7.0349617"
"1669","46.5025039","7.0380793"
"1669","46.5025039","7.0380793"
"1669","46.52642","7.05989"
"1670","46.6362402","6.8556125"
"1670","46.6418203","6.8438598"
"1670","46.6377549","6.8439069"
"1673","46.5822239","6.8052223"
"1673","46.6100401","6.8085792"
"1673","46.600001","6.816669"
"1673","46.58756","6.82717"
"1673","46.6078898","6.8166268"
"1673","46.6222539","6.8250784"
"1673","46.633337","6.8"
"1674","46.6437072","6.8153915"
"1674","46.65224","6.83625"
"1674","46.64452","6.82696"
"1675","46.6154081","6.8529049"
"1675","46.60762","6.84929"
